TAXID,GENUSNAME,SPECIESNAME,STRAIN,DBNAME,FILEPATH,chromosome_count,avg_length_chromosomes,max_length_chromosomes,min_length_chromosomes,contig_count,avg_length_contig,max_length_contig,min_length_contig,mtDNA_count,avg_length_mtDNA,max_length_mtDNA,min_length_mtDNA,plasmid_count,avg_length_plasmids,max_length_plasmids,min_length_plasmids
1450171,aaosphaeria,arxii,"",1K,"/u/home/a/akarlsbe/scratch/fungi/1K/Aaoar1_AssemblyScaffolds_Repeatmasked.fasta
",0,0,0,0,55,717378,5764896,1170,0,0,0,0,0,0,0,0
936046,agaricus,"bisporus var. bisporus h97","",1K,"/u/home/a/akarlsbe/scratch/fungi/1K/Abisporus_varbisporusH97.v2.maskedAssembly
",0,0,0,0,29,1063303,3410570,3497,0,0,0,0,0,0,0,0
597362,agaricus,"bisporus var. burnettii jb137-s8","",1K,"/u/home/a/akarlsbe/scratch/fungi/1K/Abisporus_varburnettii.v2.masked.fasta
",0,0,0,0,2016,16501,3033028,511,0,0,0,0,0,0,0,0
137743,abortiporus,biennis,"",1K,"/u/home/a/akarlsbe/scratch/fungi/1K/Abobi1_AssemblyScaffolds_Repeatmasked.fasta
",0,0,0,0,360,127248,4304990,1062,0,0,0,0,0,0,0,0
137743,abortiporus,biennis,"",1K,"/u/home/a/akarlsbe/scratch/fungi/1K/Abobie1_AssemblyScaffolds_Repeatmasked.fasta
",0,0,0,0,73,460133,2186629,8133,0,0,0,0,0,0,0,0
90262,absidia,repens,"",1K,"/u/home/a/akarlsbe/scratch/fungi/1K/Absrep1_AssemblyScaffolds_Repeatmasked.fasta
",0,0,0,0,94,511692,3951165,1363,0,0,0,0,0,0,0,0
215250,acaromyces,ingoldii,"",1K,"/u/home/a/akarlsbe/scratch/fungi/1K/Acain1_AssemblyScaffolds_Repeatmasked.fasta
",0,0,0,0,28,700175,4583200,1481,0,0,0,0,0,0,0,0
886606,acephala,macrosclerotiorum,"",1K,"/u/home/a/akarlsbe/scratch/fungi/1K/Acema1_AssemblyScaffolds_Repeatmasked.fasta
",0,0,0,0,1695,44091,1328592,1018,0,0,0,0,0,0,0,0
79814,achaetomium,strumarium,"",1K,"/u/home/a/akarlsbe/scratch/fungi/1K/Achstr1_AssemblyScaffolds_Repeatmasked.fasta
",0,0,0,0,8,3960208,7768224,3053178,0,0,0,0,0,0,0,0
1442179,acidothrix,acidophila,"",1K,"/u/home/a/akarlsbe/scratch/fungi/1K/Aciaci1_AssemblyScaffolds_Repeatmasked.fasta
",0,0,0,0,713,53724,709723,1040,0,0,0,0,0,0,0,0
245562,acidomyces,richmondensis,"",1K,"/u/home/a/akarlsbe/scratch/fungi/1K/Aciri1_iso_AssemblyScaffolds_Repeatmasked.fasta
",0,0,0,0,3164,9634,219987,359,0,0,0,0,0,0,0,0
245562,acidomyces,richmondensis,"",1K,"/u/home/a/akarlsbe/scratch/fungi/1K/Aciri1_meta_AssemblyScaffolds_Repeatmasked.fasta
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
591952,acremonium,"alcalophilum jcm 7366","",1K,"/u/home/a/akarlsbe/scratch/fungi/1K/Acral2_AssemblyScaffolds_Repeatmasked.fasta
",0,0,0,0,13,4268893,11294448,140135,0,0,0,0,0,0,0,0
